Nr;Kategorie;Titel;Beschreibung;Priorität;Sprint;Status;Owner
67;UI/UX;Warnbanner Fee-Gate;Hinweis bei zu kleinen Orders.;P2;Sprint 3;TODO;
68;UI/UX;Journal Analytics;TR-CSV, P&L, Setup-Performance.;P1;Sprint 2;TODO;
69;Betrieb;APScheduler;"EOD 22:00 CET; Intraday 10 min; Jobstore, Locks, Retry.";P0;Sprint 1;TODO;
70;Betrieb;Idempotenz;"Checkpointing; Hashes; wiederholbare Läufe.";P0;Sprint 1;TODO;
71;Betrieb;Logging;"Rotierende & JSON-Logs; Korrelations-ID je Lauf.";P2;Sprint 3;TODO;
72;Betrieb;Self-Test-Seite;Ampel: Daten/Features/Modelle/FX frisch?;P3;Sprint 4+ / Backlog;TODO;
73;Betrieb;Ressourcen-Management;Batching bei großen Watchlists.;P3;Sprint 4+ / Backlog;TODO;
74;Governance;Secrets in .env;"Nie im Code; Rate-Limits beachten.";P3;Sprint 4+ / Backlog;TODO;
75;Governance;Rechtemodell;Bei Serverbetrieb Nutzerrollen definieren.;P3;Sprint 4+ / Backlog;TODO;
76;Governance;Disclaimer & Paper;"Paper-Trading als Default; Hinweise sichtbar.";P3;Sprint 4+ / Backlog;TODO;
77;Governance;Konfig-Hash;Reports enthalten Config- und Git-Hash.;P3;Sprint 4+ / Backlog;TODO;
78;Governance;Aufbewahrung;Logs/Reports mit Rotationspolicy.;P3;Sprint 4+ / Backlog;TODO;
79;Qualität;Unit-Tests;Indikatoren/Fees/P&L/FX/Score – Referenzabgleich.;P3;Sprint 4+ / Backlog;TODO;
80;Qualität;Integration/Load/Edge;"End-to-End Pipeline; Last; Delisting/Splits/Zeitzonen.";P3;Sprint 4+ / Backlog;TODO;
